state,date,icu_percent,non_icu_percent,vent_percent,non_vent_percent,beds_percent,non_beds_percent,qua_percent,non_qua_percent
Negeri Sembilan,2021-06-14,73.75,26.25,107.6923076923077,-7.692307692307693,71.44298688193743,28.55701311806257,35.320284697508896,64.6797153024911
Negeri Sembilan,2021-06-15,81.33333333333333,18.66666666666667,116.66666666666667,-16.66666666666667,76.79112008072654,23.208879919273457,32.23880597014925,67.76119402985074
Negeri Sembilan,2021-06-16,81.33333333333333,18.66666666666667,127.08333333333333,-27.08333333333333,78.00201816347125,21.99798183652875,33.00639658848614,66.99360341151386
Negeri Sembilan,2021-06-17,81.33333333333333,18.66666666666667,133.33333333333331,-33.333333333333314,80.92835519677094,19.071644803229063,38.763326226012794,61.23667377398721
Negeri Sembilan,2021-06-18,79.71014492753623,20.289855072463766,134.6938775510204,-34.69387755102039,87.68920282542886,12.310797174571135,41.19402985074627,58.80597014925373
Negeri Sembilan,2021-06-19,79.71014492753623,20.289855072463766,128.57142857142858,-28.571428571428584,85.26740665993945,14.732593340060546,43.1732776617954,56.8267223382046
Negeri Sembilan,2021-06-20,79.71014492753623,20.289855072463766,126.53061224489797,-26.530612244897966,76.56826568265683,23.43173431734317,49.22755741127349,50.77244258872651
Negeri Sembilan,2021-06-21,79.71014492753623,20.289855072463766,122.44897959183673,-22.448979591836732,76.75276752767527,23.247232472324725,47.265135699373694,52.734864300626306
Negeri Sembilan,2021-06-22,79.71014492753623,20.289855072463766,106.12244897959184,-6.122448979591837,74.53874538745387,25.461254612546128,48.350730688935286,51.649269311064714
Negeri Sembilan,2021-06-23,79.71014492753623,20.289855072463766,100,0,75.55350553505535,24.44649446494465,47.05636743215032,52.94363256784968
Negeri Sembilan,2021-06-24,79.71014492753623,20.289855072463766,110.20408163265304,-10.204081632653043,77.85977859778598,22.140221402214024,48.97703549060543,51.02296450939457
Negeri Sembilan,2021-06-25,79.71014492753623,20.289855072463766,110.20408163265304,-10.204081632653043,80.5350553505535,19.464944649446494,47.01461377870564,52.98538622129436
Negeri Sembilan,2021-06-26,79.71014492753623,20.289855072463766,120.40816326530613,-20.40816326530613,80.62730627306273,19.37269372693727,51.94154488517745,48.05845511482255
Negeri Sembilan,2021-06-27,79.71014492753623,20.289855072463766,138.77551020408163,-38.77551020408163,79.4280442804428,20.571955719557195,54.405010438413356,45.594989561586644
Negeri Sembilan,2021-06-28,78.46153846153847,21.538461538461533,126.53061224489797,-26.530612244897966,78.04428044280442,21.95571955719558,50.9812108559499,49.0187891440501
